REPORT_DT,WO_CREATE_DT,WO_NUM,LABEL,DEAL_NUM,DEAL_DESC,DEAL_QTY,QTY_REQ,FG_ITEM,PRIM_SUFFIX,DIST_SUFFIX,PKG_SUFFIX,ITEM_DESC,FG_ITEM_QTY,DUE_SHIP_DT,PIPELINE_DEAL,ORDER_STATUS,BULK_ITEM,BULK_QTY,MFGID,LOCATION,SCHEDULE_DT,INITIAL,CUST_SEGMENT,COMMENTS,DEAL_PRICE,MONTH,YEAR,INITIAL_DFU,DISPLY_PIPELINE,WK_DEAL_INV,WK_DEAL_QTY,CUSTOMER,WK_NUMBER,DC_TGT_DUE_DT,FG_AVAIL_DT,BULK_AVAIL_DT,BULK_MFG,FG_AVAIL_WK,BULK_AVAIL_WK,FG_WK_YEAR,BULK_WK_YEAR,DEAL_WK_YEAR,FG_WK_OF,BULK_WK_OF,WK_START_OF,ACC_DNA_AFTR_SCH,DEAL_BRAND,DOSAGE,BRAND,WO_STATUS,CHANNEL,PKG_ENVIRONMENT,BULK_DESC,DFU
28-Mar-19,27-Mar-19,54843,NB,78768,78768- Description,40,4,55271,0055,0055,05NB,55271 - Description,160,29-Apr-19,,FIRMED,54906,4000,B/N,45,,GW,756180,756180 - Comments,185.09,APR,2019,55271_0055_0055,Display,0,0,CUSTOMER 2,18,15-Apr-19,29-Mar-19,01-Mar-19,B/N,13,9,13_2019,9_2019,18_2019,18-MAR-19,18-FEB-19,22-APR-19,,BRAND 5,CAP,COMPANY,,WHOLESALE,US,54906 - Description,55271_0055_0055
28-Mar-19,27-Mar-19,54843,NB,78768,78768- Description,40,4,58647,0055,0055,05NB,58647 - Description,160,29-Apr-19,,FIRMED,67081,9600,ABCD,45,,GW,756180,756180 - Comments,185.09,APR,2019,58647_0055_0055,Display,0,0,CUSTOMER 2,18,15-Apr-19,29-Mar-19,01-Mar-19,ABCD,13,9,13_2019,9_2019,18_2019,18-MAR-19,18-FEB-19,22-APR-19,ACCOUNT DESC 3,BRAND 5,CAP,COMPANY,,WHOLESALE,US,67081 - Description,58647_0055_0055
28-Mar-19,27-Mar-19,54843,NB,78768,78768- Description,40,4,82610,0055,0055,05NB,82610 - Description,160,29-Apr-19,,FIRMED,50978,19200,ABCD,45,,GW,756180,756180 - Comments,185.09,APR,2019,82610_0055_0055,Display,0,0,CUSTOMER 2,18,15-Apr-19,29-Mar-19,01-Mar-19,ABCD,13,9,13_2019,9_2019,18_2019,18-MAR-19,18-FEB-19,22-APR-19,ACCOUNT DESC 3,BRAND 5,TAB,COMPANY,,WHOLESALE,US,50978 - Description,82610_0055_0055
28-Mar-19,27-Mar-19,54844,NB,80062,80062- Description,85,8,7580,0055,0055,05NB,7580 - Description,680,22-Apr-19,,FIRMED,80114,40800,REXL,45,,GW,756180,756180 - Comments,133.72,APR,2019,7580_0055_0055,Display,0,0,CUSTOMER 2,17,08-Apr-19,22-Mar-19,22-Feb-19,REXL,12,8,12_2019,8_2019,17_2019,11-MAR-19,11-FEB-19,15-APR-19,ACCOUNT DESC 3,BRAND 5,TAB,OPTIMAL SOLUTIONS,,WHOLESALE,US,80114 - Description,7580_0055_0055
28-Mar-19,27-Mar-19,54844,NB,80062,80062- Description,85,6,35710,0055,0055,0051,35710 - Description,510,22-Apr-19,,FIRMED,53215,76500,B/N,45,,GW,756180,756180 - Comments,133.72,APR,2019,35710_0055_0055,Display,0,0,CUSTOMER 2,17,08-Apr-19,22-Mar-19,22-Feb-19,B/N,12,8,12_2019,8_2019,17_2019,11-MAR-19,11-FEB-19,15-APR-19,ACCOUNT DESC 3,BRAND 5,SFG,OPTIMAL SOLUTIONS,,WHOLESALE,EU,53215 - Description,35710_0055_0055
28-Mar-19,27-Mar-19,54845,SQ,79474,79474- Description,1147,6,55296,KROS,KROH,43QK,55296 - Description,6882,20-May-19,,UNFRMD,55284,412920,REXL,45,,GW,700001890,700001890 - Comments,9.96,MAY,2019,55296_KROS_KROH,Display,0,0,CUSTOMER 55,21,06-May-19,20-Apr-19,20-Mar-19,REXL,16,12,16_2019,12_2019,21_2019,08-APR-19,11-MAR-19,13-MAY-19,ACCOUNT DESC 3,BRAND 11,CAP,PRIVATE,,WHOLESALE,EU,55284 - Description,55296_KROS_KROH
28-Mar-19,27-Mar-19,71778,DE,56686,56686- Description,1,200,59220,ACNU,ACNN,ACNU,59220 - Description,200,06-May-19, PIPELINE,UNFRMD,,0,,46,,OR,200000017,200000017 - Comments,0,MAY,2019,59220_ACNU_ACNN,Pipeline,0,0,CUSTOMER 57,19,06-May-19,06-May-19,06-May-19,0,19,19,19_2019,19_2019,19_2019,29-APR-19,29-APR-19,29-APR-19,ACCOUNT DESC 6,BRAND 8,BAR,PURE PROTEIN BARS,,WHOLESALE,EU,,59220_ACNU_ACNN
28-Mar-19,27-Mar-19,71778,DE,56686,56686- Description,1,200,80235,ACNU,ACNN,ACNU,80235 - Description,200,06-May-19, PIPELINE,UNFRMD,,0,,46,,OR,200000017,200000017 - Comments,0,MAY,2019,80235_ACNU_ACNN,Pipeline,0,0,CUSTOMER 57,19,06-May-19,06-May-19,06-May-19,0,19,19,19_2019,19_2019,19_2019,29-APR-19,29-APR-19,29-APR-19,ACCOUNT DESC 58,BRAND 8,BAR,PURE PROTEIN BARS,,WHOLESALE,EU,,80235_ACNU_ACNN
28-Mar-19,27-Mar-19,71778,DE,56686,56686- Description,1,200,80954,ACNU,ACNN,ACNU,80954 - Description,200,06-May-19, PIPELINE,UNFRMD,,0,,46,,OR,200000017,200000017 - Comments,0,MAY,2019,80954_ACNU_ACNN,Pipeline,0,0,CUSTOMER 57,19,06-May-19,06-May-19,06-May-19,0,19,19,19_2019,19_2019,19_2019,29-APR-19,29-APR-19,29-APR-19,ACCOUNT DESC 58,BRAND 8,BAR,PURE PROTEIN BARS,,WHOLESALE,EU,,80954_ACNU_ACNN
28-Mar-19,27-Mar-19,71778,DE,56686,56686- Description,1,200,80956,ACNU,ACNN,ACNU,80956 - Description,200,06-May-19, PIPELINE,UNFRMD,,0,,46,,OR,200000017,200000017 - Comments,0,MAY,2019,80956_ACNU_ACNN,Pipeline,0,0,CUSTOMER 57,19,06-May-19,06-May-19,06-May-19,0,19,19,19_2019,19_2019,19_2019,29-APR-19,29-APR-19,29-APR-19,ACCOUNT DESC 58,BRAND 8,BAR,PURE PROTEIN BARS,,WHOLESALE,EU,,80956_ACNU_ACNN
